#node	date	numeric date
NODE_0000050	2015-06-09	2015.436986
RVA/Human-wt/KEN/KLF0771/2015/G1P8	2015-06-09	2015.436986
NODE_0000051	2015-06-17	2015.458904
RVA/Human-wt/KEN/KLF0779/2015/G1P8	2015-06-17	2015.458904
NODE_0000053	2015-06-23	2015.475342
RVA/Human-wt/KEN/KLF0807/2015/G1P8	2015-07-14	2015.532877
RVA/Human-wt/KEN/KLF0786/2015/G1P8	2015-06-23	2015.475342
NODE_0000359	2015-02-09	2015.107145
RVA/Human-wt/KEN/KLF0777/2015/G1P8	2015-06-16	2015.456164
NODE_0000060	2015-02-22	2015.144392
RVA/Human-wt/KEN/KLF0803/2015/G1P8	2015-07-08	2015.516438
NODE_0000055	2015-04-15	2015.286857
RVA/Human-wt/KEN/KLF0823/2015/G1P8	2015-08-29	2015.658904
NODE_0000056	2015-06-11	2015.442466
RVA/Human-wt/KEN/KLF0774/2015/G1P8	2015-06-12	2015.445205
RVA/Human-wt/KEN/KLF0772/2015/G1P8	2015-06-11	2015.442466
NODE_0000063	2014-12-02	2014.920438
NODE_0000350	2015-04-30	2015.326728
RVA/Human-wt/KEN/KLF1046/2014/G1P8	--	--
NODE_0000351	2017-10-16	2017.789716
RVA/Human-wt/KEN/KLF1055/2019/G1P8	2019-06-01	2019.415068
LC600823.1_RVA/Human-wt/KEN/KCH534/2019/G3P8	--	--
NODE_0000058	2014-12-02	2014.920438
RVA/Human-wt/KEN/KLF0819/2015/G1P8	2015-08-11	2015.609589
NODE_0000059	2015-08-24	2015.645205
RVA/Human-wt/KEN/KLF0821/2015/G1P8	2015-08-24	2015.645205
NODE_0000352	2016-01-11	2016.029981
MH291322.1_RVA/Human-wt/KEN/3607/2016/G1P8	--	--
NODE_0000353	2016-06-04	2016.424863
RVA/Human-wt/KEN/KLF1049/2016/G1P8	--	--
MH291317.1_RVA/Human-wt/KEN/3724/2017/G1P8	--	--
RVA/Human-wt/KEN/KLF0832/2016/G1P8	2016-06-04	2016.424863
RVA/Human-wt/KEN/KLF1048/2016/G1P8	2016-07-26	2016.566940
NODE_0000363	2014-08-31	2014.664425
NODE_0000365	2015-01-11	2015.029121
RVA/Human-wt/KEN/KLF0817/2015/G1P8	2015-08-07	2015.598630
NODE_0000366	2015-04-24	2015.310332
RVA/Human-wt/KEN/KLF0780/2015/G1P8	2015-06-20	2015.467123
RVA/Human-wt/KEN/KLF0813/2015/G1P8	2015-07-25	2015.563014
RVA/Human-wt/KEN/KLF0802/2015/G1P8	2015-07-07	2015.513699
NODE_0000368	2015-04-29	2015.324420
RVA/Human-wt/KEN/KLF0834/2016/G1P8	2016-07-10	2016.523224
NODE_0000068	2016-07-24	2016.562785
RVA/Human-wt/KEN/KLF0877/2018/G1P8	2018-05-01	2018.330137
NODE_0000071	2016-07-27	2016.569672
RVA/Human-wt/KEN/KLF2468/2017/G1P8	2017-08-05	2017.593151
RVA/Human-wt/KEN/KLF1050/2017/G1P8	2016-07-27	2016.569672
NODE_0000372	2015-03-23	2015.224563
RVA/Human-wt/KEN/KLF0814/2015/G1P8	2015-07-26	2015.565753
NODE_0000373	2015-06-22	2015.472603
RVA/Human-wt/KEN/KLF0784/2015/G1P8	2015-06-22	2015.472603
RVA/Human-wt/KEN/KLF0793/2015/G1P8	2015-06-28	2015.489041
NODE_0000075	2015-05-27	2015.402701
RVA/Human-wt/KEN/KLF0838/2016/G1P8	2016-07-25	2016.564208
NODE_0000076	2015-05-30	2015.409589
RVA/Human-wt/KEN/KLF0761/2015/G1P8	2015-05-30	2015.409589
NODE_0000077	2015-06-16	2015.456164
RVA/Human-wt/KEN/KLF0776/2015/G1P8	2015-06-16	2015.456164
NODE_0000078	2015-06-20	2015.467123
RVA/Human-wt/KEN/KLF0781/2015/G1P8	2015-06-20	2015.467123
NODE_0000079	2015-06-23	2015.475342
